record_date,total_pcr
2020-01-02,0.83
2020-01-03,0.85
2020-01-06,0.83
2020-01-07,0.83
2020-01-08,0.76
2020-01-09,0.66
2020-01-10,0.86
2020-01-13,0.76
2020-01-14,0.76
2020-01-15,0.75
2020-01-16,0.71
2020-01-17,0.66
2020-01-21,0.83
2020-01-22,0.82
2020-01-23,0.76
2020-01-24,1.10
2020-01-27,1.01
2020-01-28,0.80
2020-01-29,0.83
2020-01-30,0.86
2020-01-31,1.07
2020-02-03,0.72
2020-02-04,0.82
2020-02-05,0.94
2020-02-06,0.71
2020-02-07,0.95
2020-02-10,0.84
2020-02-11,0.72
2020-02-12,0.70
2020-02-13,0.80
2020-02-14,0.83
2020-02-18,0.78
2020-02-19,0.81
2020-02-20,0.84
2020-02-21,1.15
2020-02-24,1.09
2020-02-25,1.31
2020-02-26,1.23
2020-02-27,1.31
2020-02-28,1.27
2020-03-02,1.29
2020-03-03,0.80
2020-03-04,1.25
2020-03-05,0.88
2020-03-06,1.18
2020-03-09,1.83
2020-03-10,1.19
2020-03-11,1.36
2020-03-12,1.46
2020-03-13,1.27
2020-03-16,1.28
2020-03-17,1.01
2020-03-18,1.33
2020-03-19,1.12
2020-03-20,1.23
2020-03-23,1.09
2020-03-24,0.88
2020-03-25,0.95
2020-03-26,0.97
2020-03-27,1.07
